target_name	accession	e_value	score	description
sp|B5KL35|VKT4_CRYNI	-	6.6e-11	47.4	Kunitz-type serine protease inhibitor nigrescinin-4 OS=Cryptophis nigrescens OX=292442 PE=2 SV=1
sp|P0DQQ9|VKT1_PALCA	-	7e-11	47.3	Kunitz-like toxin PcKuz1 OS=Palythoa caribaeorum OX=134933 PE=3 SV=1
sp|Q6ITB9|VKT3_PSEAU	-	7.9e-11	47.1	Kunitz-type serine protease inhibitor mulgin-3 OS=Pseudechis australis OX=8670 PE=2 SV=1
sp|D5J9Q8|VKT5_BUNFL	-	8e-11	47.1	Kunitz-type serine protease inhibitor isoform 5 OS=Bungarus flaviceps flaviceps OX=8615 PE=3 SV=1
sp|P82968|MCPI_MELCP	-	8.8e-11	47.0	Four-domain proteases inhibitor OS=Melithaea caledonica OX=156534 PE=1 SV=1
sp|A6MGY1|VKT7_DEMVE	-	9e-11	46.9	Kunitz-type serine protease inhibitor vestiginin-7 OS=Demansia vestigiata OX=412038 PE=1 SV=1
sp|E7FL13|VKT3_PSERS	-	1e-10	46.7	Kunitz serine protease inhibitor Pr-mulgin 3 OS=Pseudechis rossignolii OX=1489342 PE=2 SV=1
sp|E7FL12|VKT2_PSERS	-	1.1e-10	46.7	Kunitz serine protease inhibitor Pr-mulgin 2 OS=Pseudechis rossignolii OX=1489342 PE=2 SV=1
sp|Q6ITB0|VKT1_TROCA	-	1.1e-10	46.7	Kunitz-type serine protease inhibitor carinatin-1 OS=Tropidechis carinatus OX=100989 PE=2 SV=1
sp|Q6ITB1|VKT_PSEPO	-	1.1e-10	46.7	Kunitz-type serine protease inhibitor blackelin OS=Pseudechis porphyriacus OX=8671 PE=2 SV=1
sp|B5KL34|VKT3_CRYNI	-	1.1e-10	46.7	Kunitz-type serine protease inhibitor nigrescinin-3 OS=Cryptophis nigrescens OX=292442 PE=2 SV=1
sp|B5L5Q8|VKT5_PSEAU	-	1.1e-10	46.6	Kunitz-type serine protease inhibitor mulgin-5 OS=Pseudechis australis OX=8670 PE=3 SV=1
sp|Q6ITB4|VKT2_OXYMI	-	1.2e-10	46.5	Kunitz-type serine protease inhibitor microlepidin-2 OS=Oxyuranus microlepidotus OX=111177 PE=2 SV=1
sp|Q6ITB6|VKT2_OXYSC	-	1.2e-10	46.5	Kunitz-type serine protease inhibitor scutellin-2 OS=Oxyuranus scutellatus scutellatus OX=8667 PE=2 SV=1
sp|A6MFL3|VKT3_DEMVE	-	1.2e-10	46.5	Kunitz-type serine protease inhibitor vestiginin-3 OS=Demansia vestigiata OX=412038 PE=1 SV=1
sp|A8Y7P2|VKTB2_DABSI	-	1.3e-10	46.4	Kunitz-type serine protease inhibitor B2 OS=Daboia siamensis OX=343250 PE=2 SV=1
sp|H6VC06|VKTK2_DABRR	-	1.3e-10	46.4	Kunitz-type serine protease inhibitor DrKIn-II OS=Daboia russelii OX=8707 PE=1 SV=1
sp|P81548|VKT2_ANTAF	-	1.3e-10	46.4	PI-actitoxin-Axm2b OS=Anthopleura aff. xanthogrammica OX=152178 PE=1 SV=1
sp|A8Y7P0|VKTB7_DABSI	-	1.5e-10	46.3	Kunitz-type serine protease inhibitor 7 OS=Daboia siamensis OX=343250 PE=2 SV=1
sp|Q2ES50|VKT1_DABRR	-	1.5e-10	46.3	Kunitz-type serine protease inhibitor 1 OS=Daboia russelii OX=8707 PE=2 SV=1
sp|Q6ITC0|VKT2_PSEAU	-	1.5e-10	46.3	Kunitz-type serine protease inhibitor mulgin-2 OS=Pseudechis australis OX=8670 PE=2 SV=1
sp|P82966|VKTCI_OPHHA	-	1.5e-10	46.2	Kunitz-type serine protease inhibitor OS=Ophiophagus hannah OX=8665 PE=1 SV=2
sp|Q6ITB5|VKT1_OXYMI	-	1.5e-10	46.2	Kunitz-type serine protease inhibitor microlepidin-1 OS=Oxyuranus microlepidotus OX=111177 PE=2 SV=1
sp|C8YJ97|KUN5_TABYA	-	1.5e-10	46.2	Tabkunin 5 OS=Tabanus yao OX=485572 PE=3 SV=1
sp|Q6ITB8|VKT4_PSEAU	-	2.1e-10	45.7	Kunitz-type serine protease inhibitor mulgin-4 OS=Pseudechis australis OX=8670 PE=2 SV=1
sp|P0DL86|VKT2H_RADCR	-	2.1e-10	45.7	PI-stichotoxin-Hcr2h OS=Radianthus crispa OX=3122430 PE=1 SV=1
sp|E7FL11|VKT1_PSERS	-	2.3e-10	45.6	Kunitz serine protease inhibitor Pr-mulgin 1 OS=Pseudechis rossignolii OX=1489342 PE=1 SV=1
sp|A8Y7P4|VKTB4_DABSI	-	2.4e-10	45.6	Kunitz-type serine protease inhibitor B4 OS=Daboia siamensis OX=343250 PE=3 SV=1
sp|C0HJF4|VKT2C_RADCR	-	2.4e-10	45.5	TauPI-stichotoxin-Hcr2c OS=Radianthus crispa OX=3122430 PE=1 SV=1
sp|F8J2F4|VKT16_DRYCN	-	2.6e-10	45.5	Kunitz-type serine protease inhibitor 161 OS=Drysdalia coronoides OX=66186 PE=1 SV=1
sp|P0DN12|VKT8_ANEVI	-	2.7e-10	45.4	U-actitoxin-Avd3k OS=Anemonia viridis OX=51769 PE=3 SV=1
sp|P10832|ISC2_BOMMO	-	3e-10	45.3	Chymotrypsin inhibitor SCI-II OS=Bombyx mori OX=7091 PE=1 SV=1
sp|Q6ITC1|VKTH1_PSEAU	-	3.2e-10	45.2	Kunitz-type serine protease inhibitor homolog mulgin-1 OS=Pseudechis australis OX=8670 PE=2 SV=1
sp|A8Y7N5|VKTC2_DABSI	-	3.3e-10	45.1	Kunitz-type serine protease inhibitor C2 OS=Daboia siamensis OX=343250 PE=3 SV=1
sp|B5L5R1|IVBI5_PSEPO	-	3.3e-10	45.1	Blackelin-5 OS=Pseudechis porphyriacus OX=8671 PE=3 SV=1
sp|B5KL32|VKT3_NOTSC	-	3.4e-10	45.1	Kunitz-type serine protease inhibitor tigerin-3 OS=Notechis scutatus scutatus OX=70142 PE=2 SV=1
sp|B5KL38|VKT1_AUSSU	-	3.5e-10	45.0	Kunitz-type serine protease inhibitor superbin-1 OS=Austrelaps superbus OX=29156 PE=2 SV=1
sp|B2G331|VKT2B_RADCR	-	3.8e-10	44.9	TauPI-stichotoxin-Hcr2b OS=Radianthus crispa OX=3122430 PE=1 SV=1
sp|P0DJ82|VKT27_CYRSC	-	4.2e-10	44.8	Kunitz-type kappaPI-theraphotoxin-Hs1c OS=Cyriopagopus schmidti OX=29017 PE=3 SV=1
sp|B5KF94|VKT1_HOPST	-	4.4e-10	44.7	Kunitz-type serine protease inhibitor stephenin-1 OS=Hoplocephalus stephensii OX=196418 PE=2 SV=1
sp|Q5ZPJ7|VKT_NAJAT	-	4.6e-10	44.7	Kunitz-type serine protease inhibitor NACI OS=Naja atra OX=8656 PE=1 SV=1
sp|B2KTG1|VKT_BUNFA	-	5.1e-10	44.5	Kunitz-type serine protease inhibitor bungaruskunin OS=Bungarus fasciatus OX=8613 PE=1 SV=1
sp|D8KY58|VKT_BOMTE	-	5.1e-10	44.5	Kunitz-type serine protease inhibitor Bt-KTI OS=Bombus terrestris OX=30195 PE=3 SV=1
sp|C0HJF3|VKT2D_RADCR	-	5.2e-10	44.5	TauPI-stichotoxin-Hcr2d OS=Radianthus crispa OX=3122430 PE=1 SV=1
sp|Q6ITB7|VKT1_OXYSC	-	5.4e-10	44.5	Kunitz-type serine protease inhibitor scutellin-1 OS=Oxyuranus scutellatus scutellatus OX=8667 PE=2 SV=1
sp|B5KL31|VKT3_PSEPO	-	5.8e-10	44.4	Kunitz-type serine protease inhibitor blackelin-3 OS=Pseudechis porphyriacus OX=8671 PE=2 SV=1
sp|P0DV03|VKT2M_RADCR	-	5.8e-10	44.3	PI-stichotoxin-Hcr2m OS=Radianthus crispa OX=3122430 PE=3 SV=1
sp|Q9TWF9|VKT2_ANESU	-	5.9e-10	44.3	KappaPI-actitoxin-Avd3c OS=Anemonia sulcata OX=6108 PE=1 SV=1
sp|Q6ITB3|VKT1_NOTSC	-	6.5e-10	44.2	Kunitz-type serine protease inhibitor tigerin-1 OS=Notechis scutatus scutatus OX=70142 PE=2 SV=1
sp|B5KL30|VKT4_OXYSC	-	6.6e-10	44.2	Kunitz-type serine protease inhibitor scutellin-4 OS=Oxyuranus scutellatus scutellatus OX=8667 PE=2 SV=1
sp|B5KL41|VKT4_AUSSU	-	6.6e-10	44.2	Kunitz-type serine protease inhibitor superbin-4 OS=Austrelaps superbus OX=29156 PE=2 SV=1
sp|Q2ES48|VKT3_DABRR	-	6.8e-10	44.1	Kunitz-type serine protease inhibitor 3 OS=Daboia russelii OX=8707 PE=2 SV=1
sp|A8Y7P5|VKTB5_DABSI	-	7.7e-10	43.9	Kunitz-type serine protease inhibitor B5 OS=Daboia siamensis OX=343250 PE=2 SV=1
sp|P26228|SBPI_SARBU	-	7.8e-10	43.9	Protease inhibitor OS=Sarcophaga bullata OX=7385 PE=1 SV=1
sp|P0DJ46|VKT21_LYCMC	-	7.9e-10	43.9	Kunitz-type serine protease inhibitor LmKTT-1a OS=Lychas mucronatus OX=172552 PE=1 SV=1
sp|D2Y2Q7|VKTP1_CYRHA	-	8.2e-10	43.9	Kunitz-type U15-theraphotoxin-Hhn1p OS=Cyriopagopus hainanus OX=2781057 PE=3 SV=1
sp|Q03610|YN81_CAEEL	-	8.2e-10	43.9	Uncharacterized protein ZC84.1 OS=Caenorhabditis elegans OX=6239 GN=ZC84.1 PE=3 SV=6
sp|B5KL33|VKT2_TROCA	-	8.3e-10	43.8	Kunitz-type serine protease inhibitor carinatin-2 OS=Tropidechis carinatus OX=100989 PE=2 SV=1
sp|A6MFL2|VKT2_DEMVE	-	8.5e-10	43.8	Kunitz-type serine protease inhibitor vestiginin-2 OS=Demansia vestigiata OX=412038 PE=2 SV=1
sp|D2Y2G1|VKTJ1_CYRHA	-	9e-10	43.7	Kunitz-type U15-theraphotoxin-Hhn1j OS=Cyriopagopus hainanus OX=2781057 PE=3 SV=1
sp|P0DJ84|VKT40_CYRSC	-	9e-10	43.7	Kunitz-type kappaPI-theraphotoxin-Hs1d OS=Cyriopagopus schmidti OX=29017 PE=3 SV=1
sp|A8Y7P1|VKTB1_DABSI	-	1e-09	43.5	Kunitz-type serine protease inhibitor B1 OS=Daboia siamensis OX=343250 PE=1 SV=1
sp|Q8T0W4|VKT2_PIMHY	-	1.1e-09	43.5	Kunitz-type serine protease inhibitor cvp2 OS=Pimpla hypochondriaca OX=135724 PE=1 SV=1
sp|D2Y2Q5|VKTN1_CYRHA	-	1.4e-09	43.1	Kunitz-type U15-theraphotoxin-Hhn1n OS=Cyriopagopus hainanus OX=2781057 PE=3 SV=1
sp|P0DJ48|VKT23_LYCMC	-	1.5e-09	43.0	Kunitz-type serine protease inhibitor LmKTT-1c OS=Lychas mucronatus OX=172552 PE=3 SV=1
sp|D2Y2Q8|VKTQ1_CYRHA	-	1.7e-09	42.9	Kunitz-type U15-theraphotoxin-Hhn1q OS=Cyriopagopus hainanus OX=2781057 PE=3 SV=1
sp|H2A0P0|KCP5_PINMG	-	1.7e-09	42.8	BPTI/Kunitz domain-containing protein 5 OS=Margaritifera margaritifera OX=102329 PE=1 SV=1
sp|P0DV06|VKT2P_RADCR	-	1.7e-09	42.8	PI-stichotoxin-Hcr2p OS=Radianthus crispa OX=3122430 PE=3 SV=1
sp|P10831|ISC1_BOMMO	-	1.7e-09	42.8	Chymotrypsin inhibitor SCI-I OS=Bombyx mori OX=7091 PE=1 SV=1
sp|D2Y2Q9|VKTR1_CYRHA	-	2e-09	42.6	Kunitz-type U15-theraphotoxin-Hhn1r OS=Cyriopagopus hainanus OX=2781057 PE=3 SV=1
sp|P00983|MAMB7_DENPO	-	2e-09	42.6	Mambaquaretin-7 OS=Dendroaspis polylepis polylepis OX=8620 PE=1 SV=1
sp|H2A0N5|KCP3_PINMG	-	2.3e-09	42.4	BPTI/Kunitz domain-containing protein 3 OS=Margaritifera margaritifera OX=102329 PE=1 SV=1
sp|P0DJ49|VKT24_OLIMR	-	2.4e-09	42.4	Kunitz-type serine protease inhibitor BmKTT-1 OS=Olivierus martensii OX=34649 PE=3 SV=1
sp|D2Y2Q2|VKTM1_CYRHA	-	2.4e-09	42.3	Kunitz-type U15-theraphotoxin-Hhn1m OS=Cyriopagopus hainanus OX=2781057 PE=3 SV=1
sp|A6MFL1|VKT1_DEMVE	-	2.5e-09	42.3	Kunitz-type serine protease inhibitor vestiginin-1 OS=Demansia vestigiata OX=412038 PE=2 SV=1
sp|P0DJ45|VKT22_LYCMC	-	2.6e-09	42.2	Kunitz-type serine protease inhibitor LmKTT-1b OS=Lychas mucronatus OX=172552 PE=2 SV=1
sp|H2A0N1|KCP2_PINMG	-	2.9e-09	42.1	BPTI/Kunitz domain-containing protein 2 OS=Margaritifera margaritifera OX=102329 PE=1 SV=1
sp|P0DN15|VKTB_ANEVI	-	3.1e-09	42.0	U-actitoxin-Avd3n OS=Anemonia viridis OX=51769 PE=1 SV=1
sp|P81162|CRPTI_RHIMP	-	4.3e-09	41.6	Protease inhibitor carrapatin OS=Rhipicephalus microplus OX=6941 PE=1 SV=1
sp|H2A0M2|KCP1_PINMG	-	4.4e-09	41.5	BPTI/Kunitz domain-containing protein 1 OS=Margaritifera margaritifera OX=102329 PE=1 SV=1
sp|P15989|CO6A3_CHICK	-	4.7e-09	41.4	Collagen alpha-3(VI) chain OS=Gallus gallus OX=9031 GN=COL6A3 PE=2 SV=2
sp|B5L5R6|IVBI3_HOPST	-	4.7e-09	41.4	Stephenin-3 OS=Hoplocephalus stephensii OX=196418 PE=3 SV=2
sp|A6MGX9|VKT5_DEMVE	-	5.1e-09	41.3	Kunitz-type serine protease inhibitor vestiginin-5 OS=Demansia vestigiata OX=412038 PE=2 SV=1
sp|P00772|CELA1_PIG	-	5.4e-09	41.2	Chymotrypsin-like elastase family member 1 OS=Sus scrofa OX=9823 GN=CELA1 PE=1 SV=1
sp|P0DN16|VKTC_ANEVI	-	5.6e-09	41.2	U-actitoxin-Avd3o OS=Anemonia viridis OX=51769 PE=3 SV=1
sp|Q589G4|VKT19_ANOSM	-	6.1e-09	41.1	Kunitz-type serine protease inhibitor As-fr-19 OS=Anoplius samariensis OX=200614 PE=1 SV=1
sp|P86959|KCP1_PINMA	-	7.2e-09	40.8	BPTI/Kunitz domain-containing protein 1 OS=Pinctada maxima OX=104660 PE=1 SV=1
sp|D2Y2Q1|VKTL1_CYRHA	-	7.4e-09	40.8	Kunitz-type U15-theraphotoxin-Hhn1l OS=Cyriopagopus hainanus OX=2781057 PE=3 SV=1
sp|D2Y488|VKT1A_CONCL	-	8.8e-09	40.6	Kunitz-type serine protease inhibitor conotoxin Cal9.1a OS=Californiconus californicus OX=1736779 PE=3 SV=1
sp|G3LH89|VKT_BOMIG	-	9.2e-09	40.5	Kunitz-type serine protease inhibitor Bi-KTI OS=Bombus ignitus OX=130704 PE=3 SV=1
sp|P86964|KCP3_PINMA	-	1.7e-08	39.6	BPTI/Kunitz domain-containing protein 3 OS=Pinctada maxima OX=104660 PE=1 SV=1
sp|C8YJ96|KUN4_TABYA	-	1.8e-08	39.5	Tabkunin 4 OS=Tabanus yao OX=485572 PE=3 SV=1
sp|P81658|VKTHC_DENAN	-	2.1e-08	39.3	Kunitz-type serine protease inhibitor homolog calcicludine OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1
sp|P07481|ISC3_BOMMO	-	2.2e-08	39.3	Chymotrypsin inhibitor SCI-III OS=Bombyx mori OX=7091 PE=1 SV=1
sp|F8J2F6|VKT18_DRYCN	-	2.2e-08	39.3	Kunitz-type serine protease inhibitor 18 OS=Drysdalia coronoides OX=66186 PE=1 SV=1
sp|Q1RPS8|VKTH6_BUNMU	-	2.4e-08	39.1	Kunitz-type serine protease inhibitor homolog beta-bungarotoxin B6 chain OS=Bungarus multicinctus OX=8616 PE=3 SV=1
sp|Q2UY09|COSA1_HUMAN	-	3.4e-08	38.7	Collagen alpha-1(XXVIII) chain OS=Homo sapiens OX=9606 GN=COL28A1 PE=1 SV=2
sp|P0DMJ1|VKT39_CYRSC	-	3.5e-08	38.6	Kunitz-type U15-theraphotoxin-Hs1g OS=Cyriopagopus schmidti OX=29017 PE=3 SV=1
sp|F6ULY1|WFC6B_MOUSE	-	3.9e-08	38.5	WAP four-disulfide core domain protein 6B OS=Mus musculus OX=10090 GN=Wfdc6b PE=2 SV=1
sp|Q96NZ8|WFKN1_HUMAN	-	4.2e-08	38.4	WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 1 OS=Homo sapiens OX=9606 GN=WFIKKN1 PE=1 SV=1
sp|O95925|EPPI_HUMAN	-	4.4e-08	38.3	Eppin OS=Homo sapiens OX=9606 GN=EPPIN PE=1 SV=1
sp|F5GTK6|VKGUA_SIMGU	-	4.6e-08	38.2	Guianensin OS=Simulium guianense OX=445764 PE=1 SV=1
sp|Q4KUS1|WFDC8_MOUSE	-	4.9e-08	38.2	WAP four-disulfide core domain protein 8 OS=Mus musculus OX=10090 GN=Wfdc8 PE=2 SV=1
sp|P12111|CO6A3_HUMAN	-	8.6e-08	37.4	Collagen alpha-3(VI) chain OS=Homo sapiens OX=9606 GN=COL6A3 PE=1 SV=5
sp|Q7T2Q6|VKTHB_BUNFL	-	9.1e-08	37.3	Kunitz-type serine protease inhibitor homolog beta-bungarotoxin B chain OS=Bungarus flaviceps flaviceps OX=8615 PE=1 SV=1
sp|Q90W96|VKT6_PSETT	-	9.6e-08	37.2	Kunitz-type serine protease inhibitor textilinin-6 OS=Pseudonaja textilis textilis OX=169397 PE=2 SV=1
sp|Q6ITB2|VKT2_NOTSC	-	1.2e-07	37.0	Kunitz-type serine protease inhibitor tigerin-2 OS=Notechis scutatus scutatus OX=70142 PE=2 SV=1
sp|Q28153|CELA1_BOVIN	-	1.9e-07	36.3	Chymotrypsin-like elastase family member 1 OS=Bos taurus OX=9913 GN=CELA1 PE=2 SV=1
sp|B5L5Q1|VKT7_PSETT	-	2e-07	36.2	Kunitz-type serine protease inhibitor textilinin-7 OS=Pseudonaja textilis textilis OX=169397 PE=3 SV=1
sp|P19859|VKTCI_NAJNA	-	2.1e-07	36.2	Kunitz-type serine protease inhibitor OS=Naja naja OX=35670 PE=1 SV=1
sp|Q1RPS9|VKTH5_BUNMU	-	2.3e-07	36.0	Kunitz-type serine protease inhibitor homolog beta-bungarotoxin B5 chain OS=Bungarus multicinctus OX=8616 PE=3 SV=1
sp|C0HLB0|MAMB9_DENVI	-	2.4e-07	36.0	Mambaquaretin-9 OS=Dendroaspis viridis OX=8621 PE=1 SV=1
sp|B5KL29|VKT3_OXYSC	-	2.4e-07	36.0	Kunitz-type serine protease inhibitor scutellin-3 OS=Oxyuranus scutellatus scutellatus OX=8667 PE=2 SV=1
sp|B5KL27|VKT3_OXYMI	-	2.7e-07	35.8	Kunitz-type serine protease inhibitor microlepidin-3 OS=Oxyuranus microlepidotus OX=111177 PE=2 SV=1
sp|P00773|CELA1_RAT	-	3.1e-07	35.6	Chymotrypsin-like elastase family member 1 OS=Rattus norvegicus OX=10116 GN=Cela1 PE=1 SV=1
sp|P16344|VKT2A_RADCR	-	3.8e-07	35.3	PI-stichotoxin-Hcr2a OS=Radianthus crispa OX=3122430 PE=1 SV=1
sp|P0DQR0|VKT2_PALCA	-	4e-07	35.2	Kunitz-like toxin PcKuz2 OS=Palythoa caribaeorum OX=134933 PE=3 SV=1
sp|D2Y2Q6|VKTO1_CYRHA	-	4.4e-07	35.1	Kunitz-type U15-theraphotoxin-Hhn1o OS=Cyriopagopus hainanus OX=2781057 PE=3 SV=1
sp|I6VXS1|KUN2_RHIHE	-	5e-07	34.9	Anticoagulant protein rhipilin-2 OS=Rhipicephalus haemaphysaloides OX=237073 PE=2 SV=1
sp|O46644|CELA1_MACFA	-	5.8e-07	34.7	Chymotrypsin-like elastase family member 1 OS=Macaca fascicularis OX=9541 GN=CELA1 PE=2 SV=1
sp|Q91X79|CELA1_MOUSE	-	7e-07	34.4	Chymotrypsin-like elastase family member 1 OS=Mus musculus OX=10090 GN=Cela1 PE=1 SV=1
sp|Q5R1M5|CELA1_FELCA	-	7.3e-07	34.4	Chymotrypsin-like elastase family member 1 OS=Felis catus OX=9685 GN=CELA1 PE=2 SV=1
sp|Q867B0|CELA1_CANLF	-	7.4e-07	34.4	Chymotrypsin-like elastase family member 1 OS=Canis lupus familiaris OX=9615 GN=CELA1 PE=2 SV=1
sp|O95428|PPN_HUMAN	-	7.9e-07	34.3	Papilin OS=Homo sapiens OX=9606 GN=PAPLN PE=1 SV=4
sp|Q3UW55|WFC6A_MOUSE	-	9e-07	34.1	WAP four-disulfide core domain protein 6A OS=Mus musculus OX=10090 GN=Wfdc6a PE=2 SV=1
sp|Q0PL65|VKTH7_BUNMU	-	9.1e-07	34.1	Kunitz-type serine protease inhibitor homolog beta-bungarotoxin B5-B chain OS=Bungarus multicinctus OX=8616 PE=2 SV=1
sp|D4A2Z2|EPPI_RAT	-	9.7e-07	34.0	Eppin OS=Rattus norvegicus OX=10116 GN=Eppin PE=3 SV=1
sp|Q2UY11|COSA1_MOUSE	-	1.2e-06	33.7	Collagen alpha-1(XXVIII) chain OS=Mus musculus OX=10090 GN=Col28a1 PE=2 SV=1
sp|Q9UNI1|CELA1_HUMAN	-	1.6e-06	33.3	Chymotrypsin-like elastase family member 1 OS=Homo sapiens OX=9606 GN=CELA1 PE=1 SV=2
sp|H2A0N9|KCP4_PINMG	-	1.9e-06	33.1	BPTI/Kunitz domain-containing protein 4 OS=Margaritifera margaritifera OX=102329 PE=1 SV=1
sp|B5M0W4|SV66_SIMVI	-	2.1e-06	32.9	Simukunin OS=Simulium vittatum OX=7192 PE=1 SV=1
sp|G9I929|VKTA_MICTN	-	2.2e-06	32.8	Kunitz-type neurotoxin MitTx-alpha OS=Micrurus tener tener OX=1114302 PE=1 SV=1
sp|Q9D263|SPIT4_MOUSE	-	2.3e-06	32.8	Kunitz-type protease inhibitor 4 OS=Mus musculus OX=10090 GN=Spint4 PE=2 SV=1
sp|Q90W97|VKT5_PSETT	-	2.9e-06	32.5	Kunitz-type serine protease inhibitor textilinin-5 OS=Pseudonaja textilis textilis OX=169397 PE=2 SV=1
sp|B5KL28|VKT4_OXYMI	-	3e-06	32.4	Kunitz-type serine protease inhibitor microlepidin-4 OS=Oxyuranus microlepidotus OX=111177 PE=2 SV=1
sp|Q8AY46|VKTHB_BUNCA	-	3.5e-06	32.2	Kunitz-type serine protease inhibitor homolog beta-bungarotoxin B1 chain OS=Bungarus candidus OX=92438 PE=2 SV=2
sp|B2KTG2|VKTH1_BUNFA	-	6.2e-06	31.4	Kunitz-type serine protease inhibitor homolog beta-bungarotoxin BF B1 chain OS=Bungarus fasciatus OX=8613 PE=2 SV=1
sp|Q8R0S6|WFKN1_MOUSE	-	6.8e-06	31.3	WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 1 OS=Mus musculus OX=10090 GN=Wfikkn1 PE=2 SV=2
sp|P11424|IMAP_DROFU	-	6.9e-06	31.3	Male accessory gland serine protease inhibitor OS=Drosophila funebris OX=7221 GN=PapD PE=1 SV=1
sp|P0CY85|VKTB1_CONBU	-	7.2e-06	31.2	Kunitz-type conkunitzin-B1 OS=Conus bullatus OX=89438 PE=3 SV=1
sp|D2Y2F5|VKT4_CYRHA	-	7.7e-06	31.1	Kunitz-type U15-theraphotoxin-Hhn1d OS=Cyriopagopus hainanus OX=2781057 PE=3 SV=1
sp|P0DJ71|VKT35_CYRHA	-	7.7e-06	31.1	Kunitz-type U15-theraphotoxin-Hhn1d OS=Cyriopagopus hainanus OX=2781057 PE=3 SV=1
sp|P55210|CASP7_HUMAN	-	7.8e-06	31.1	Caspase-7 OS=Homo sapiens OX=9606 GN=CASP7 PE=1 SV=1
sp|P0DJ85|VKT45_CYRSC	-	8.5e-06	31.0	Kunitz-type U15-theraphotoxin-Hs1f OS=Cyriopagopus schmidti OX=29017 PE=3 SV=1
sp|Q9EPX2|PPN_MOUSE	-	9.2e-06	30.9	Papilin OS=Mus musculus OX=10090 GN=Papln PE=2 SV=2
sp|P00987|VKTH1_BUNMU	-	1e-05	30.7	Kunitz-type serine protease inhibitor homolog beta-bungarotoxin B1 chain, major component OS=Bungarus multicinctus OX=8616 PE=1 SV=2
sp|Q9W728|VKTH3_BUNMU	-	1.1e-05	30.6	Kunitz-type serine protease inhibitor homolog beta-bungarotoxin B3 chain OS=Bungarus multicinctus OX=8616 PE=2 SV=1
sp|B2KTG3|VKTH2_BUNFA	-	1.4e-05	30.2	Kunitz-type serine protease inhibitor homolog beta-bungarotoxin BF B2 chain OS=Bungarus fasciatus OX=8613 PE=2 SV=1
sp|P0DJ80|VKT22_CYRSC	-	1.6e-05	30.1	Kunitz-type U15-theraphotoxin-Hs1a OS=Cyriopagopus schmidti OX=29017 PE=3 SV=1
sp|B2ZBB8|VKT33_CYRSC	-	1.6e-05	30.1	Kunitz-type U15-theraphotoxin-Hs1a OS=Cyriopagopus schmidti OX=29017 PE=3 SV=1
sp|P0DJ75|VKT2_CYRSC	-	1.6e-05	30.1	Kunitz-type U15-theraphotoxin-Hs1a OS=Cyriopagopus schmidti OX=29017 PE=3 SV=1
sp|P0DJ78|VKT6_CYRSC	-	1.6e-05	30.1	Kunitz-type U15-theraphotoxin-Hs1a OS=Cyriopagopus schmidti OX=29017 PE=3 SV=1
sp|B2ZBC0|VKTG9_CYRSC	-	1.7e-05	30.0	Kunitz-type U15-theraphotoxin-Hs1c OS=Cyriopagopus schmidti OX=29017 PE=3 SV=1
sp|P0C5J5|WFKN1_RAT	-	2.2e-05	29.7	WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Wfikkn1 PE=2 SV=1
sp|Q7SIG3|ELA1_SALSA	-	2.2e-05	29.6	Elastase-1 OS=Salmo salar OX=8030 PE=1 SV=1
sp|B2ZBB9|VKTG6_CYRSC	-	2.4e-05	29.5	Kunitz-type U15-theraphotoxin-Hs1b OS=Cyriopagopus schmidti OX=29017 PE=3 SV=1
sp|D2Y2F9|VKTH1_CYRHA	-	2.4e-05	29.5	Kunitz-type U15-theraphotoxin-Hhn1h OS=Cyriopagopus hainanus OX=2781057 PE=3 SV=1
sp|P0DJ65|VKT7_CYRHA	-	2.4e-05	29.5	Kunitz-type U15-theraphotoxin-Hhn1h OS=Cyriopagopus hainanus OX=2781057 PE=3 SV=1
sp|D2Y2C2|VKTA1_CYRHA	-	2.4e-05	29.5	Kunitz-type U15-theraphotoxin-Hhn1a OS=Cyriopagopus hainanus OX=2781057 PE=3 SV=1
sp|P0DJ70|VKT53_CYRHA	-	2.4e-05	29.5	Kunitz-type U15-theraphotoxin-Hhn1a OS=Cyriopagopus hainanus OX=2781057 PE=3 SV=1
sp|Q9BDL1|EPPI_MACMU	-	2.7e-05	29.3	Eppin OS=Macaca mulatta OX=9544 GN=EPPIN PE=2 SV=1
sp|D2Y2F8|VKTG1_CYRHA	-	3.1e-05	29.1	Kunitz-type U15-theraphotoxin-Hhn1g OS=Cyriopagopus hainanus OX=2781057 PE=3 SV=1
sp|D2Y2F4|VKTC1_CYRHA	-	3.5e-05	29.0	Kunitz-type U15-theraphotoxin-Hhn1c OS=Cyriopagopus hainanus OX=2781057 PE=3 SV=1
sp|P0DJ67|VKT34_CYRHA	-	3.5e-05	29.0	Kunitz-type U15-theraphotoxin-Hhn1c OS=Cyriopagopus hainanus OX=2781057 PE=3 SV=1
sp|D2Y2F6|VKTE1_CYRHA	-	4.9e-05	28.5	Kunitz-type U15-theraphotoxin-Hhn1e OS=Cyriopagopus hainanus OX=2781057 PE=3 SV=1
